"DIC_ID","TABLE_NAME"
"20000","DIC_QX"
"18100","DIC_WF_PHASE"
"18110","DIC_WF_NODE"
"19100","DIC_AHTU_DEPT"
"19110","DIC_AHTU_ROLE"
"20010","DIC_QX_CZ"
"ID","NAME","CODE"
"CZC","村镇处",""
"XKC","许可处",""
"BGS","办公室",""
"CGB","成果办",""
"ZB","在编",""
"JLD","局领导",""
"ID","NAME","CODE"
"XKC_JBR","许可处经办人",""
"CZC_JBR","村镇处经办人",""
"CZC_FC","村镇处副处",""
"CZC_CZ","村镇处处长",""
"JLD_JZ","局长",""
"BGS_JBR","办公室经办人",""
"QX_JBR","区县经办人",""
"CGB_JBR","成果办经办人",""
"ID","NAME","CODE"
"0","市局","SJ"
"1","黄浦区","HP"
"2","徐汇区","XH"
"3","长宁区","CN"
"4","静安区","JN"
"5","普陀区","PT"
"6","虹口区","HK"
"7","杨浦区","YP"
"8","浦东新区","PD"
"9","闵行区","MH"
"10","宝山区","BS"
"11","嘉定区","JD"
"12","金山区","JS"
"13","松江区","SJ"
"14","青浦区","QP"
"15","奉贤区","FX"
"16","崇明区","CM"
"ID","NAME","CODE","QX_ID"
"2001","华泾镇","HJZ","2"
"3001","新泾镇","XJZ","3"
"4001","彭浦镇","PPZ","4"
"5001","长征镇","CZZ","5"
"5002","桃浦镇","TPZ","5"
"7001","五角场镇","WJCZ","7"
"8001","川沙新镇","CSXZ","8"
"8002","高桥镇","GQZ","8"
"8003","北蔡镇","BCZ","8"
"8004","合庆镇","HQZ","8"
"8005","唐镇","TZ","8"
"8006","曹路镇","CLZ","8"
"8007","金桥镇","JQZ","8"
"8008","高行镇","GHZ","8"
"8009","高东镇","GDZ","8"
"8010","张江镇","ZJZ","8"
"8011","三林镇","SLZ","8"
"8012","惠南镇","HNZ","8"
"8013","周浦镇","ZPZ","8"
"8014","新场镇","XCZ","8"
"8015","大团镇","DTZ","8"
"8016","康桥镇","KQZ","8"
"8017","航头镇","HTZ","8"
"8018","祝桥镇","ZQZ","8"
"8019","泥城镇","NCZ","8"
"8020","宣桥镇","XQZ","8"
"8021","书院镇","SYZ","8"
"8022","万祥镇","WXZ","8"
"8023","老港镇","LGZ","8"
"8024","南汇新城镇","NHXCZ","8"
"9001","莘庄镇","XZZ","9"
"9002","七宝镇","QBZ","9"
"9003","浦江镇","PJZ","9"
"9004","梅陇镇","MLZ","9"
"9005","虹桥镇","HQZ","9"
"9006","马桥镇","MQZ","9"
"9007","吴泾镇","WJZ","9"
"9008","华漕镇","HCZ","9"
"9009","颛桥镇","ZQZ","9"
"10001","罗店镇","LDZ","10"
"10002","大场镇","DCZ","10"
"10003","杨行镇","YHZ","10"
"10004","月浦镇","YPZ","10"
"10005","罗泾镇","LJZ","10"
"10006","顾村镇","GCZ","10"
"10007","高泾镇","GJZ","10"
"10008","庙行镇","MHZ","10"
"10009","淞南镇","SNZ","10"
"11001","南翔镇","NXZ","11"
"11002","安亭镇","ATZ","11"
"11003","马陆镇","MLZ","11"
"11004","徐行镇","XHZ","11"
"11005","华亭镇","HTZ","11"
"11006","外冈镇","WGZ","11"
"11007","江桥镇","JQZ","11"
"12001","朱泾镇","ZJZ","12"
"12002","枫泾镇","FJZ","12"
"12003","张堰镇","ZYZ","12"
"12004","亭林镇","TLZ","12"
"12005","吕巷镇","LXZ","12"
"12006","廊下镇","LXZ","12"
"12007","金山卫镇","JSWZ","12"
"12008","漕泾镇","CJZ","12"
"12009","山阳镇","SYZ","12"
"13001","泗泾镇","SJZ","13"
"13002","佘山镇","SSZ","13"
"13003","车墩镇","CDZ","13"
"13004","新桥镇","XQZ","13"
"13005","洞泾镇","DJZ","13"
"13006","九亭镇","JTZ","13"
"13007","泖港镇","MGZ","13"
"13008","石湖荡镇","SHDZ","13"
"13009","新浜镇","XBZ","13"
"13010","叶榭镇","YXZ","13"
"13011","小昆山镇","XKSZ","13"
"14001","朱家角镇","ZJJZ","14"
"14002","赵巷镇","ZXZ","14"
"14003","徐泾镇","XJZ","14"
"14004","华新镇","HXZ","14"
"14005","重固镇","CGZ","14"
"14006","白鹤镇","BHZ","14"
"14007","练塘镇","LTZ","14"
"14008","金泽镇","JZZ","14"
"15001","南桥镇","NQZ","15"
"15002","丰城镇","FCZ","15"
"15003","四团镇","STZ","15"
"15004","柘林镇","ZLZ","15"
"15005","庄行镇","ZHZ","15"
"15006","金汇镇","JHZ","15"
"15007","青村镇","QCZ","15"
"15008","海湾镇","HWZ","15"
"16001","城桥镇","CQZ","16"
"16002","堡镇","BZ","16"
"16003","新河镇","XHZ","16"
"16004","竖新镇","SXZ","16"
"16005","向化镇","XHZ","16"
"16006","三星镇","SXZ","16"
"16007","港沿镇","GYZ","16"
"16008","中兴镇","ZXZ","16"
"16009","陈家镇","CJZ","16"
"16010","绿华镇","LHZ","16"
"16011","港西镇","GXZ","16"
"16012","建设镇","JSZ","16"
"16013","新海镇","XHZ","16"
"16014","东平镇","DPZ","16"
"16015","长兴镇","CXZ","16"
"16016","庙镇","MZ","16"
"ID","NAME","CODE"
"110100","开始",""
"110101","办理",""
"110102","结束",""
"110200","开始",""
"110201","上报申请",""
"110202","受理",""
"110203","签分",""
"110204","办理",""
"110205","副处审核",""
"110206","处长审核",""
"110207","局长审定",""
"110208","文印发件",""
"110209","结束",""
"110300","开始",""
"110301","入库",""
"110302","归档",""
"110303","结束",""
"ID","NAME","CODE"
"1101","基础准备","JCZB"
"1102","方案审批","FASP"
"1103","成果入库","CGRK"
